,id,title,site,performer,duration,release_date,img_url,flag,is_vr,is_creampie,is_anal,is_remaster
41,31468,Brooklyn Chase & Johnny Castle in After School,After School,"Brooklyn Chase, Johnny Castle",46 min,"Sep 20, 2022",//images5.naughtycdn.com/cms/nacmscontent/v1/scenes/afsc/brooklynjohnnyrem/scene/horizontal/800x534c.jpg ,"VR, REMASTERED HD",True,False,False,True
42,31467,Callie Black & Ryan Driller in My Sister's Hot Friend,My Sister'S Hot Friend,"Callie Black, Ryan Driller",47 min,"Sep 24, 2022",//images3.naughtycdn.com/cms/nacmscontent/v1/scenes/mshf/callieryan/scene/horizontal/800x534c.jpg ,"4K, HD",False,False,False,False
43,31466,Lauren Phillips & Alex Jones in Naughty America,Naughty America,"Lauren Phillips, Alex Jones",52 min,"Sep 19, 2022",//images5.naughtycdn.com/cms/nacmscontent/v1/scenes/nam/laurenalex/scene/horizontal/800x534c.jpg ,"4K, HD",False,False,False,False
44,31465,Bunny Madison & Crystal Rush & Sarah Taylor & Dan Damage in Naughty America,Naughty America,"Bunny Madison, Crystal Rush, Sarah Taylor, Dan Damage",64 min,"Sep 16, 2022",//images5.naughtycdn.com/cms/nacmscontent/v1/scenes/nam/bunnycrystalsarahdan/scene/horizontal/800x534c.jpg ,VR,True,False,False,False
45,31464,Alex Coal & Danny Steele in Dirty Wives Club,Dirty Wives Club,"Alex Coal, Danny Steele",41 min,"Sep 20, 2022",//images4.naughtycdn.com/cms/nacmscontent/v1/scenes/nadwc/alexdanny/scene/horizontal/800x534c.jpg ,"4K, HD",False,False,False,False
46,31462,Sophie Dee & Nat Turnher in Ass Masterpiece,Ass Masterpiece,"Sophie Dee, Nat Turnher",19 min,"Sep 18, 2022",//images2.naughtycdn.com/cms/nacmscontent/v1/scenes/am/sophiedeerem/scene/horizontal/800x534c.jpg ,"HD, REMASTERED HD",False,False,False,True
47,31461,Sage Pillar & Filthy Rich in Naughty America,Naughty America,"Sage Pillar, Filthy Rich",28 min,"Sep 14, 2022",//images5.naughtycdn.com/cms/nacmscontent/v1/scenes/nam/sagefilthy/scene/horizontal/800x534c.jpg ,"4K, HD",False,False,False,False
48,31460,Charli Phoenix & Piper Press & Apollo Banks in Wives on Vacation,Wives On Vacation,"Charli Phoenix, Piper Press, Apollo Banks",41 min,"Sep 16, 2022",//images5.naughtycdn.com/cms/nacmscontent/v1/scenes/wov/charlipiperapollo/scene/horizontal/800x534c.jpg ,"4K, HD",False,False,False,False
49,31459,Lily Starfire & Peter Green in My Sister's Hot Friend,My Sister'S Hot Friend,"Lily Starfire, Peter Green",30 min,"Sep 15, 2022",//images2.naughtycdn.com/cms/nacmscontent/v1/scenes/mshf/lilystarfirepeter/scene/horizontal/800x534c.jpg ,"4K, HD",False,False,False,False
50,31458,Rachael Cavalli & Joshua Lewis in My Friend's Hot Mom,My Friend'S Hot Mom,"Rachael Cavalli, Joshua Lewis",36 min,"Sep 17, 2022",//images3.naughtycdn.com/cms/nacmscontent/v1/scenes/mfhm/rachaeljoshua/scene/horizontal/800x534c.jpg ,"4K, HD",False,False,False,False
