,id,title,performer,release_date,url,img_url,preview_url
26,8105101,Hitching a Ride,"Maya Woulfe,","Oct 11, 2022",https://www.brazzers.com/video/8105101/hitching-a-ride,https://media-public-ht.project1content.com/m=eyzaevFb/9f1/b5d/528/e0b/475/f82/13a/570/94f/b10/21/poster/poster_01.jpg,https://prog-public-ht.project1content.com/9f1/b5d/528/e0b/475/f82/13a/570/94f/b10/21/mediabook/mediabook_320p.mp4
27,8105231,Two Oiled MILFs Share a Cock,"Richelle Ryan,","Oct 11, 2022",https://www.brazzers.com/video/8105231/two-oiled-mil-fs-share-a-cock,https://media-public-ht.project1content.com/m=eyzaevFb/9e8/fce/2fa/07d/432/a88/3fc/766/216/040/5a/poster/poster_01.jpg,https://prog-public-ht.project1content.com/9e8/fce/2fa/07d/432/a88/3fc/766/216/040/5a/mediabook/mediabook_320p.mp4
28,8105061,Mother Daughter Double Hitter: Part 2﻿﻿,"Tokyo Leigh,","Oct 10, 2022",https://www.brazzers.com/video/8105061/mother-daughter-double-hitter-part-2,https://media-public-ht.project1content.com/m=eyzaevFb/129/ac8/0ec/2ff/474/e82/8e0/d61/720/41d/96/poster/poster_01.jpg,https://prog-public-ht.project1content.com/129/ac8/0ec/2ff/474/e82/8e0/d61/720/41d/96/mediabook/mediabook_320p.mp4
29,8105141,Mother Daughter Double Hitter: Part 1,"Kimmy Kimm ,","Oct 10, 2022",https://www.brazzers.com/video/8105141/mother-daughter-double-hitter-part-1,https://media-public-ht.project1content.com/m=eyzaevFb/cad/7d0/a45/57d/4e8/aa6/fc6/a8c/f0b/08e/df/poster/poster_01.jpg,https://prog-public-ht.project1content.com/cad/7d0/a45/57d/4e8/aa6/fc6/a8c/f0b/08e/df/mediabook/mediabook_320p.mp4
30,8104631,Don't Let Her Out,"Luna Star, Scott Nails","Oct 9, 2022",https://www.brazzers.com/video/8104631/dont-let-her-out,https://media-public-ht.project1content.com/m=eyzaevFb/0cf/8f5/124/38d/41f/38b/f33/be7/e44/63c/8c/poster/poster_01.jpg,https://prog-public-ht.project1content.com/0cf/8f5/124/38d/41f/38b/f33/be7/e44/63c/8c/mediabook/mediabook_320p.mp4
31,8098701,Bougie Babe & The Cheating Rude Boy,"Laney Grey,","Oct 8, 2022",https://www.brazzers.com/video/8098701/bougie-babe-the-cheating-rude-boy,https://media-public-ht.project1content.com/m=eyzaevFb/759/5a2/9dd/644/4eb/499/c26/9e6/383/56a/14/poster/poster_01.jpg,https://prog-public-ht.project1content.com/759/5a2/9dd/644/4eb/499/c26/9e6/383/56a/14/mediabook/mediabook_320p.mp4
32,8098901,Sign Me Up For Sex,"Jasmine Brooks,","Oct 7, 2022",https://www.brazzers.com/video/8098901/sign-me-up-for-sex,https://media-public-ht.project1content.com/m=eyzaevFb/2be/625/10f/82c/409/780/0bd/186/4ba/75a/10/poster/poster_01.jpg,
33,8104551,Playing Doubles,"Phoenix Marie,","Oct 7, 2022",https://www.brazzers.com/video/8104551/playing-doubles,https://media-public-ht.project1content.com/m=eyzaevFb/d36/dc2/195/cf5/444/08d/8f5/9ac/95b/433/bb/poster/poster_01.jpg,
34,8098271,Juicy Jae On Display,"Jasmine Jae,","Oct 6, 2022",https://www.brazzers.com/video/8098271/juicy-jae-on-display,https://media-public-ht.project1content.com/m=eyzaevFb/6c5/ed1/d29/b98/4dc/5b7/323/6f1/d05/64b/dd/poster/poster_01.jpg,
35,8098331,A Course in Creampies,"Kenzie Reeves,","Oct 6, 2022",https://www.brazzers.com/video/8098331/a-course-in-creampies,https://media-public-ht.project1content.com/m=eyzaevFb/fd5/441/0d1/cb3/4e7/1b2/85c/39b/03d/2e0/7a/poster/poster_01.jpg,
