,title,url,cover_url
50,Volume 51,https://www.detectiveconanworld.com/wiki/Volume_51,https://www.detectiveconanworld.com/wiki/images/thumb/f/f4/Volume_51.jpg/275px-Volume_51.jpg
51,Volume 52,https://www.detectiveconanworld.com/wiki/Volume_52,https://www.detectiveconanworld.com/wiki/images/thumb/5/5c/Volume_52.jpg/275px-Volume_52.jpg
52,Volume 53,https://www.detectiveconanworld.com/wiki/Volume_53,https://www.detectiveconanworld.com/wiki/images/thumb/c/c3/Volume_53.jpg/275px-Volume_53.jpg
53,Volume 54,https://www.detectiveconanworld.com/wiki/Volume_54,https://www.detectiveconanworld.com/wiki/images/thumb/b/b1/Volume_54.jpg/275px-Volume_54.jpg
54,Volume 55,https://www.detectiveconanworld.com/wiki/Volume_55,https://www.detectiveconanworld.com/wiki/images/thumb/4/41/Volume_55.jpg/275px-Volume_55.jpg
55,Volume 56,https://www.detectiveconanworld.com/wiki/Volume_56,https://www.detectiveconanworld.com/wiki/images/thumb/3/30/Volume_56.jpg/275px-Volume_56.jpg
56,Volume 57,https://www.detectiveconanworld.com/wiki/Volume_57,https://www.detectiveconanworld.com/wiki/images/thumb/a/a4/Volume_57.jpg/275px-Volume_57.jpg
57,Volume 58,https://www.detectiveconanworld.com/wiki/Volume_58,https://www.detectiveconanworld.com/wiki/images/thumb/7/70/Volume_58.jpg/275px-Volume_58.jpg
58,Volume 59,https://www.detectiveconanworld.com/wiki/Volume_59,https://www.detectiveconanworld.com/wiki/images/thumb/0/05/Volume_59.jpg/275px-Volume_59.jpg
59,Volume 60,https://www.detectiveconanworld.com/wiki/Volume_60,https://www.detectiveconanworld.com/wiki/images/thumb/5/5d/Volume_60.jpg/275px-Volume_60.jpg
60,Volume 61,https://www.detectiveconanworld.com/wiki/Volume_61,https://www.detectiveconanworld.com/wiki/images/thumb/2/21/Volume_61.jpg/275px-Volume_61.jpg
61,Volume 62,https://www.detectiveconanworld.com/wiki/Volume_62,https://www.detectiveconanworld.com/wiki/images/thumb/3/35/Volume_62.jpg/275px-Volume_62.jpg
62,Volume 63,https://www.detectiveconanworld.com/wiki/Volume_63,https://www.detectiveconanworld.com/wiki/images/thumb/5/5e/Volume_63.jpg/275px-Volume_63.jpg
63,Volume 64,https://www.detectiveconanworld.com/wiki/Volume_64,https://www.detectiveconanworld.com/wiki/images/thumb/9/91/Volume_64.jpg/275px-Volume_64.jpg
64,Volume 65,https://www.detectiveconanworld.com/wiki/Volume_65,https://www.detectiveconanworld.com/wiki/images/thumb/1/1d/Volume_65.jpg/275px-Volume_65.jpg
65,Volume 66,https://www.detectiveconanworld.com/wiki/Volume_66,https://www.detectiveconanworld.com/wiki/images/thumb/b/b3/Volume_66.jpg/275px-Volume_66.jpg
66,Volume 67,https://www.detectiveconanworld.com/wiki/Volume_67,https://www.detectiveconanworld.com/wiki/images/thumb/c/ca/Volume_67.jpg/275px-Volume_67.jpg
67,Volume 68,https://www.detectiveconanworld.com/wiki/Volume_68,https://www.detectiveconanworld.com/wiki/images/thumb/1/1c/Volume_68.jpg/275px-Volume_68.jpg
68,Volume 69,https://www.detectiveconanworld.com/wiki/Volume_69,https://www.detectiveconanworld.com/wiki/images/thumb/a/a0/Volume_69.jpg/275px-Volume_69.jpg
69,Volume 70,https://www.detectiveconanworld.com/wiki/Volume_70,https://www.detectiveconanworld.com/wiki/images/thumb/7/7a/Volume_70.jpg/275px-Volume_70.jpg
70,Volume 71,https://www.detectiveconanworld.com/wiki/Volume_71,https://www.detectiveconanworld.com/wiki/images/thumb/8/89/Volume_71.jpg/275px-Volume_71.jpg
71,Volume 72,https://www.detectiveconanworld.com/wiki/Volume_72,https://www.detectiveconanworld.com/wiki/images/thumb/f/fb/Volume_72.jpg/275px-Volume_72.jpg
72,Volume 73,https://www.detectiveconanworld.com/wiki/Volume_73,https://www.detectiveconanworld.com/wiki/images/thumb/b/b2/Volume_73.jpg/275px-Volume_73.jpg
73,Volume 74,https://www.detectiveconanworld.com/wiki/Volume_74,https://www.detectiveconanworld.com/wiki/images/thumb/4/49/Volume_74.jpg/275px-Volume_74.jpg
74,Volume 75,https://www.detectiveconanworld.com/wiki/Volume_75,https://www.detectiveconanworld.com/wiki/images/thumb/d/de/Volume_75.jpg/275px-Volume_75.jpg
75,Volume 76,https://www.detectiveconanworld.com/wiki/Volume_76,https://www.detectiveconanworld.com/wiki/images/thumb/a/ad/Volume_76.jpg/275px-Volume_76.jpg
76,Volume 77,https://www.detectiveconanworld.com/wiki/Volume_77,https://www.detectiveconanworld.com/wiki/images/thumb/1/1d/Volume_77.jpg/275px-Volume_77.jpg
77,Volume 78,https://www.detectiveconanworld.com/wiki/Volume_78,https://www.detectiveconanworld.com/wiki/images/thumb/a/ab/Volume_78.jpg/275px-Volume_78.jpg
78,Volume 79,https://www.detectiveconanworld.com/wiki/Volume_79,https://www.detectiveconanworld.com/wiki/images/thumb/0/0f/Volume_79.jpg/275px-Volume_79.jpg
79,Volume 80,https://www.detectiveconanworld.com/wiki/Volume_80,https://www.detectiveconanworld.com/wiki/images/thumb/a/a6/Volume_80.jpg/275px-Volume_80.jpg
80,Volume 81,https://www.detectiveconanworld.com/wiki/Volume_81,https://www.detectiveconanworld.com/wiki/images/thumb/2/2b/Volume_81.jpg/275px-Volume_81.jpg
81,Volume 82,https://www.detectiveconanworld.com/wiki/Volume_82,https://www.detectiveconanworld.com/wiki/images/thumb/4/46/Volume_82.jpg/275px-Volume_82.jpg
82,Volume 83,https://www.detectiveconanworld.com/wiki/Volume_83,https://www.detectiveconanworld.com/wiki/images/thumb/3/34/Volume_83.jpg/275px-Volume_83.jpg
83,Volume 84,https://www.detectiveconanworld.com/wiki/Volume_84,https://www.detectiveconanworld.com/wiki/images/thumb/9/92/Volume_84.jpg/275px-Volume_84.jpg
84,Volume 85,https://www.detectiveconanworld.com/wiki/Volume_85,https://www.detectiveconanworld.com/wiki/images/thumb/0/0c/Volume_85.jpg/275px-Volume_85.jpg
